image_id,quality,layout,vocabulary_type,resolution_type,gt,pred,correct,error_type,note
39,easy,multi,IV,normal,豫周口货1882YUZHOUKOUHUO,豫周口货1882YUZHOUKOUHUO,True,correct,
40,easy,multi,IV,normal,豫周口货3193YUZHOUKOUHUO,豫周口货3193YUZHOUKOUHUO,True,correct,
41,easy,multi,IV,normal,豫周泓翔081YUZHOUHONGXIANG,豫周泓翔081YUZHOUHONGXIANG,True,correct,
42,easy,multi,IV,normal,豫周泓翔1361YUZHOUHONGXIANG,豫周泓翔1361YUZHOUHONGXIANG,True,correct,
43,easy,multi,IV,normal,豫周泓翔1361YUZHOUHONGXIANG,豫周泓翔1361YUZHOUHONGXIANG,True,correct,
44,easy,multi,IV,normal,豫昌盛687YUCHANGSHENG,豫昌盛687YUCHANGSHENG,True,correct,
45,easy,multi,IV,normal,远顺6688YUANSHUN,远顺6688YUANSHUN,True,correct,
46,easy,multi,IV,normal,华发212HUAFA,华发212HUAFA,True,correct,
47,easy,multi,IV,normal,宣城XUANCHENG,宣城XUANCHENG,True,correct,
48,easy,multi,IV,normal,宣城XUANCHENG,宣城XUANCHENG,True,correct,
49,easy,multi,IV,normal,徐州XUZHOU,州州XUZHOU,False,single_char_error,
50,easy,multi,IV,normal,徐货9313XUHUO,徐货9313XUHUO,True,correct,
51,easy,multi,IV,normal,江淮1088JIANGHUAI,江淮1088JIANGHUAI,True,correct,
52,easy,multi,IV,normal,沪宝山货0058HUBAOSHANHUO,沪宝山货0058HUBAOSHANHUO,True,correct,
53,easy,multi,IV,normal,济宁JINING,济宁JINING,True,correct,
54,easy,multi,IV,normal,浙嘉善槽686嘉兴港,浙嘉善槽686嘉兴港,True,correct,
55,easy,multi,IV,normal,浙安吉货2760,浙安吉货2760,True,correct,
56,easy,multi,IV,normal,浙建德货00659ZHEJIANDEHUO,浙德清货9560ZHEDEQINGHUO,False,length_error,
57,easy,multi,IV,normal,皖亳州货1166WANBOZHOUHUO,皖亳州货1161WANBOZHOUHUO,False,single_char_error,
58,easy,multi,IV,normal,皖利辛货8918WANLIXINHUO,皖利辛货8918WANLIXINHUO,True,correct,
59,easy,multi,IV,normal,皖民生6699WANMINSHENG,皖民生6699WANMINSHENG,True,correct,
60,easy,multi,IV,normal,苏邮288SUYOU,邮苏882扬州,False,length_error,
61,easy,multi,IV,normal,鲁济宁货1506LUJININGHUO,鲁济宁货1506LUJININGHUO,True,correct,
62,easy,multi,IV,normal,万源锦绣8WANYUANJINXIU,万源锦绣8WANYUANJINXIU,True,correct,
63,easy,multi,IV,normal,万集777WANJI,万集777WANJI,True,correct,
64,easy,multi,IV,normal,万集777WANJI,万集777WANJI,True,correct,
65,easy,multi,IV,normal,东海68DONGHAI,东海68DONGHAI,True,correct,
66,easy,multi,IV,normal,中俊1号ZHONGJUNHAO,中俊1号ZHONGJUNHAO,True,correct,
67,easy,multi,IV,normal,中港货6308ZHONGGANGHUO,中港货6308ZHONGGANGHUO,True,correct,
68,easy,multi,IV,normal,中港货9928ZHONGGANGHUO,中港货9928ZHONGGANGHUO,True,correct,
69,easy,multi,IV,normal,中港货88866ZHONGGANGHUO,中港货88866ZHONGGANGHUO,True,correct,
70,easy,multi,IV,normal,乾程359QIANCHENG,乾程359QIANCHENG,True,correct,
71,easy,multi,IV,normal,交航66JIAOHANG,交航66JIAOHANG,True,correct,
72,easy,multi,IV,normal,交航518JIAOHANG,交航518JIAOHANG,True,correct,
73,easy,multi,IV,normal,交航1566JIAOHANG,交航1566JIAOHANG,True,correct,
74,easy,multi,IV,normal,亨扬货888HENGYANGHUO,亨扬货888HENGYANGHUO,True,correct,
75,easy,multi,IV,normal,健康1314JIANKANG,健康1314JIANKANG,True,correct,
76,easy,multi,IV,normal,光好1788GUANGHAO,光好1788GUANGHAO,True,correct,
77,easy,multi,IV,normal,光好1788GUANGHAO,光好1788GUANGHAO,True,correct,
78,easy,multi,IV,normal,兴安太6858XINGANTAI,兴安太6858XINGANTAI,True,correct,
79,easy,multi,IV,normal,兴林机10888XINGLINJI,兴林机10888XINGLINJI,True,correct,
80,easy,multi,IV,normal,兴沈机0836XINGSHENJI,兴沈机0836XINGSHENJI,True,correct,
81,easy,multi,IV,normal,兴良机002XINGLIANGJI,兴良机002XINGLIANGJI,True,correct,
82,easy,multi,IV,normal,兴良机1752XINGLIANGJI,兴良机1752XINGLIANGJI,True,correct,
83,easy,multi,IV,normal,兴隆机518XINGLONGJI,兴隆机518XINGLONGJI,True,correct,
84,easy,multi,IV,normal,凯通008,凯通008,True,correct,
85,easy,multi,IV,normal,凯通008,凯通008,True,correct,
86,easy,multi,IV,normal,凯通008,凯通008,True,correct,
87,easy,multi,IV,normal,创业2899CHUANGYE,创业2899CHUANGYE,True,correct,
88,easy,multi,IV,normal,创源机8608CHUANGYUANJI,创源机8608CHUANGYUANJI,True,correct,
89,easy,multi,IV,normal,利丰698LIFENG,利丰698LIFENG,True,correct,
90,easy,multi,IV,normal,利君6666LIJUN,利君6666LIJUN,True,correct,
91,easy,multi,IV,normal,华业货899HUAYEHUO,华业货899HUAYEHUO,True,correct,
92,easy,multi,IV,normal,华发568HUAFA,华发568HUAFA,True,correct,
93,easy,multi,IV,normal,华泰0688HUATAI,华泰0688HUATAI,True,correct,
94,easy,multi,IV,normal,华泰5822,华泰5822,True,correct,
95,easy,multi,IV,normal,华联货188HUALIANHUO,华联货188HUALIANHUO,True,correct,
96,easy,multi,IV,normal,华鑫58HUAXIN,华鑫58HUAXIN,True,correct,
97,easy,multi,IV,normal,华鑫58亳州HUAXINBOZHOU,华鑫58亳州HUAXINBOZHOU,True,correct,
98,easy,multi,IV,normal,华鑫58亳州HUAXINBOZHOU,华鑫58亳州HUAXINBOZHOU,True,correct,
99,easy,multi,IV,normal,华青9688HUAQING,华青9688HUAQING,True,correct,
100,easy,multi,IV,normal,发顺8868FASHUN,发顺8868FASHUN,True,correct,
101,easy,multi,IV,normal,合肥武运0686HEFEIWUYUN,合肥武运0686HEFEIWUYUN,True,correct,
102,easy,multi,IV,normal,合肥武运828HEFEIWUYUN,合肥武运828HEFEIWUYUN,True,correct,
103,easy,multi,IV,normal,合肥武运1618合肥港HEFEIWUYUNHEFEIGANG,合肥武运1618合肥港HEFEIWUYUNHEFEIGANG,True,correct,
104,easy,multi,IV,normal,吉诚贸通009JICHENGMAOTONG,吉诚贸通009JICHENGMAOTONG,True,correct,
105,easy,multi,IV,normal,吉诚贸通009JICHENGMAOTONG,吉诚贸通009JICHENGMAOTONG,True,correct,
106,easy,multi,IV,normal,和谐1866淮南港,和谐1866淮南港,True,correct,
107,easy,multi,IV,normal,和顺866HESHUN,和顺866HESHUN,True,correct,
108,easy,multi,IV,normal,咏乐6688YONGLE,咏乐6688YONGLE,True,correct,
109,easy,multi,IV,normal,嘉海航运026JIAHAIHANGYUN,嘉海航运026JIAHAIHANGYUN,True,correct,
110,easy,multi,IV,normal,嘉集016JIAJI,嘉集016JIAJI,True,correct,
111,easy,multi,IV,normal,嘉集303JIAJI,嘉集303JIAJI,True,correct,
112,easy,multi,IV,normal,四航机9898SIHANGJI,四航机9898SIHANGJI,True,correct,
113,easy,multi,IV,normal,四航货0268SIHANGHUO,四航货0268SIHANGHUO,True,correct,
114,easy,multi,IV,normal,国强1188GUOQIANG,国强1188GUOQIANG,True,correct,
115,easy,multi,IV,normal,多才8888DUOCAI,多才8888DUOCAI,True,correct,
116,easy,multi,IV,normal,天启集08TIANQIJI,天启集08TIANQIJI,True,correct,
117,easy,multi,IV,normal,姜苏机568JIANGSUJI,姜苏机568JIANGSUJI,True,correct,
118,easy,multi,IV,normal,宁天元18号南京,宁天元18号南京,True,correct,
119,easy,multi,IV,normal,宇远969YUYUAN,宇远969YUYUAN,True,correct,
120,easy,multi,IV,normal,安航机8858ANHANGJI,安航机8858ANHANGJI,True,correct,
121,easy,multi,IV,normal,宏源机20HONGYUANJI,宏源机20HONGYUANJI,True,correct,
122,easy,multi,IV,normal,宝西湖机1898BAOXIHUJI,宝西湖机1898BAOXIHUJI,True,correct,
123,easy,multi,IV,normal,家祥58JIAXIANG,家祥58JIAXIANG,True,correct,
124,easy,multi,IV,normal,富华集运03FUHUAJIYUN,富华集运03FUHUAJIYUN,True,correct,
125,easy,multi,IV,normal,富华集运06FUHUAJIYUN,富华集运06FUHUAJIYUN,True,correct,
126,easy,multi,IV,normal,富华集运06FUHUAJIYUN,富华集运06FUHUAJIYUN,True,correct,
127,easy,multi,IV,normal,富华集运06FUHUAJIYUN,富华集运06FUHUAJIYUN,True,correct,
128,easy,multi,IV,normal,富华集运09FUHUAJIYUN,富华集运09FUHUAJIYUN,True,correct,
129,easy,multi,IV,normal,富华集送05FUHUAJISONG,富华集送05FUHUAJISONG,True,correct,
130,easy,multi,IV,normal,富阳007FUYANG,富阳007FUYANG,True,correct,
131,easy,multi,IV,normal,常州机918CHANGZHOUJI,常州机918CHANGZHOUJI,True,correct,
132,easy,multi,IV,normal,弘泰航运527,弘泰航运527,True,correct,
133,easy,multi,IV,normal,弘泰航运527HONGTAIHANGYUN,弘泰航运527HONGTAIHANGYUN,True,correct,
134,easy,multi,IV,normal,徐货9176XUHUO,徐货9176XUHUO,True,correct,
135,easy,multi,IV,normal,徐货9313XUHUO,徐货9313XUHUO,True,correct,
136,easy,multi,IV,normal,徐货9313XUHUO,徐货9313XUHUO,True,correct,
137,easy,multi,IV,normal,徐运99999XUYUN,徐运99999XUYUN,True,correct,
138,easy,multi,IV,normal,志远658,志远658,True,correct,
139,easy,multi,IV,normal,志远658ZHIYUAN,志远658ZHIYUAN,True,correct,
140,easy,multi,IV,normal,思屹阳888SIYIYANG,思屹阳888SIYIYANG,True,correct,
141,easy,multi,IV,normal,恒润888888HENGRUN,恒润888888HENGRUN,True,correct,
142,easy,multi,IV,normal,恒顺6669HENGSHUN,恒顺6669HENGSHUN,True,correct,
143,easy,multi,IV,normal,成通货9888CHENGTONGHUO,成通货9888CHENGTONGHUO,True,correct,
144,easy,multi,IV,normal,振华13ZHENHUA,振华13ZHENHUA,True,correct,
145,easy,multi,IV,normal,振华13ZHENHUA,振华13ZHENHUA,True,correct,
146,easy,multi,IV,normal,振华13ZHENHUA,振华13ZHENHUA,True,correct,
147,easy,multi,IV,normal,振陵机8288ZHENLINGJI,振陵机8288ZHENLINGJI,True,correct,
148,easy,multi,IV,normal,振鸿918ZHENHONG,振鸿918ZHENHONG,True,correct,
149,easy,multi,IV,normal,新宇胜利XINYUSHENGLI,新宇胜利XINYUSHENGLI,True,correct,
150,easy,multi,IV,normal,新宜99999XINYI,新宜99999XINYI,True,correct,
151,easy,multi,IV,normal,新庄油98XINZHUANGYOU,新庄油98XINZHUANGYOU,True,correct,
152,easy,multi,IV,normal,新康海888XINKANGHAI,新康海888XINKANGHAI,True,correct,
153,easy,multi,IV,normal,新康海888XINKANGHAI,新康海888XINKANGHAI,True,correct,
154,easy,multi,IV,normal,新康海888XINKANGHAI,新康海888XINKANGHAI,True,correct,
155,easy,multi,IV,normal,新康海888XINKANGHAI,新康海888XINKANGHAI,True,correct,
156,easy,multi,IV,normal,新正58XINZHENG,新正58XINZHENG,True,correct,
157,easy,multi,IV,normal,旭欣168XUXIN,旭欣168XUXIN,True,correct,
158,easy,multi,IV,normal,明阳5678MINGYANG,明阳5678MINGYANG,True,correct,
159,easy,multi,IV,normal,明阳6863MINGYAN,明阳6863MINGYAN,True,correct,
160,easy,multi,IV,normal,晟运686CHENGYUN,晟运686CHENGYUN,True,correct,
161,easy,multi,IV,normal,晶超1819JINGCHAO,晶超1819JINGCHAO,True,correct,
162,easy,multi,IV,normal,桥机66668QIAOJI,桥机66668QIAOJI,True,correct,
163,easy,multi,IV,normal,梧桐集008WUTONGJI,梧桐集008WUTONGJI,True,correct,
164,easy,multi,IV,normal,梧桐集999WUTONGJI,梧桐集999WUTONGJI,True,correct,
165,easy,multi,IV,normal,正通机4458ZHENGTONGJI,正通机4458ZHENGTONGJI,True,correct,
166,easy,multi,IV,normal,水运机1058SHUIYUNJI,水运机1058SHUIYUNJI,True,correct,
167,easy,multi,IV,normal,永安0089阜阳港,永安0089阜阳港,True,correct,
168,easy,multi,IV,normal,永强268YONGQIANG,永强268YONGQIANG,True,correct,
169,easy,multi,IV,normal,汇凯66HUIKAI,汇凯66HUIKAI,True,correct,
170,easy,multi,IV,normal,汇海集006HUIHAIJI,汇海集006HUIHAIJI,True,correct,
171,easy,multi,IV,normal,江泰油018JIANGTAIYOU,江泰油018JIANGTAIYOU,True,correct,
172,easy,multi,IV,normal,江泰轮工8JIANGTAILUNGONG,江泰轮工8JIANGTAILUNGONG,True,correct,
173,easy,multi,IV,normal,江海货68JIANGHAIHUO,江海货68JIANGHAIHUO,True,correct,
174,easy,multi,IV,normal,江淮货398JIANGHUAIHUO,江淮货398JIANGHUAIHUO,True,correct,
175,easy,multi,IV,normal,江淮货398JIANGHUAIHUO,江淮货398JIANGHUAIHUO,True,correct,
176,easy,multi,IV,normal,沪宝山货0058HUBAOSHANHUO,沪宝山货0058HUBAOSHANHUO,True,correct,
177,easy,multi,IV,normal,沪宝山货318上海港,沪宝山货318上海港,True,correct,
178,easy,multi,IV,normal,泰东1688TAIDONG,泰东1688TAIDONG,True,correct,
179,easy,multi,IV,normal,泰东货1588TAIDONGHUO,泰东货1588TAIDONGHUO,True,correct,
180,easy,multi,IV,normal,泰顺888TAISHUN,泰顺888TAISHUN,True,correct,
181,easy,multi,IV,normal,泰顺888TAISHUN,泰顺888TAISHUN,True,correct,
182,easy,multi,IV,normal,泰顺机2609泰州港,泰顺机2609泰州港,True,correct,
183,easy,multi,IV,normal,洲城机3188ZHOUCHENGJI,洲城机3188ZHOUCHENGJI,True,correct,
184,easy,multi,IV,normal,浙上虞货0566ZHESHANGYUHUO,浙上虞货0566ZHESHANGYUHUO,True,correct,
185,easy,multi,IV,normal,浙上虞货0566绍兴港,浙上虞货0566绍兴港,True,correct,
186,easy,multi,IV,normal,浙九漕集016ZHEJIUCAOJI,浙九漕集016ZHEJIUCAOJI,True,correct,
187,easy,multi,IV,normal,浙九漕集016ZHEJIUCAOJI,浙九漕集016ZHEJIUCAOJI,True,correct,
188,easy,multi,IV,normal,浙余杭货00401杭州港,浙余杭货00401杭州港,True,correct,
189,easy,multi,IV,normal,浙余杭货00480ZHEYUHANGHUO,浙余杭货00480ZHEYUHANGHUO,True,correct,
190,easy,multi,IV,normal,浙余杭货01317杭州港,浙余杭货01317杭州港,True,correct,
191,easy,multi,IV,normal,浙余杭货01777ZHEYUHANGHUO,浙余杭货01777ZHEYUHANGHUO,True,correct,
192,easy,multi,IV,normal,浙余杭货01827ZHEYUHANGHUO,浙余杭货01827ZHEYUHANGHUO,True,correct,
193,easy,multi,IV,normal,浙余杭货02228ZHEYUHANGHUO,浙余杭货02228ZHEYUHANGHUO,True,correct,
194,easy,multi,IV,normal,浙余杭货02869ZHEYUHANGHUO,浙余杭货02869ZHEYUHANGHUO,True,correct,
195,easy,multi,IV,normal,浙余杭货02916ZHEYUHANGHUO,浙余杭货02916ZHEYUHANGHUO,True,correct,
196,easy,multi,IV,normal,浙余杭货02989ZHEYUHANGHUO,浙余杭货02989ZHEYUHANGHUO,True,correct,
197,easy,multi,IV,normal,浙嘉兴货01591ZHEJIAXINGHUO,浙嘉兴货01591ZHEJIAXINGHUO,True,correct,
198,easy,multi,IV,normal,浙嘉兴货02976嘉兴港,浙嘉兴货02976嘉兴港,True,correct,
199,easy,multi,IV,normal,浙嘉兴货03291ZHEJIAXINGHUO,浙嘉兴货03291ZHEJIAXINGHUO,True,correct,
200,easy,multi,IV,normal,浙嘉善槽268ZHEJIASHANCAO,浙嘉善槽268ZHEJIASHANCAO,True,correct,
201,easy,multi,IV,normal,浙嘉善货02566ZHEJIASHANHUO,浙嘉善货02566ZHEJIASHANHUO,True,correct,
202,easy,multi,IV,normal,浙嘉善货03898ZHEJIASHANHUO,浙嘉善货03898ZHEJIASHANHUO,True,correct,
203,easy,multi,IV,normal,浙安吉货1591ZHEANJIHUO,浙安吉货1591ZHEANJIHUO,True,correct,
204,easy,multi,IV,normal,浙安吉货2787,浙安吉货2787,True,correct,
205,easy,multi,IV,normal,浙富阳货00781ZHEFUYANGHUO,浙富阳货00781ZHEFUYANGHUO,True,correct,
206,easy,multi,IV,normal,浙富阳货00818ZHEFUYANGHUO,浙富阳货00818ZHEFUYANGHUO,True,correct,
207,easy,multi,IV,normal,浙富阳货00828ZHEFUYANGHUO,浙富阳货00822ZHEFUYANGHUO,False,single_char_error,
208,easy,multi,IV,normal,浙富阳货00850ZHEFUYANGHUO,浙富阳货00850ZHEFUYANGHUO,True,correct,
209,easy,multi,IV,normal,浙富阳货00979ZHEFUYANGHUO,浙富阳货00979ZHEFUYANGHUO,True,correct,
210,easy,multi,IV,normal,浙富阳货00985ZHEFUYANGHUO,浙富阳货00985ZHEFUYANGHUO,True,correct,
211,easy,multi,IV,normal,浙富阳货00992ZHEFUYANGHUO,浙富阳货00992ZHEFUYANGHUO,True,correct,
212,easy,multi,IV,normal,浙富阳货01099ZHEFUYANGHUO,浙富阳货01099ZHEFUYANGHUO,True,correct,
213,easy,multi,IV,normal,浙富阳货01099ZHEFUYANGHUO,浙富阳货01099ZHEFUYANGHUO,True,correct,
214,easy,multi,IV,normal,浙平湖货01939ZHEPINGHUHUO,浙平湖货01939ZHEPINGHUHUO,True,correct,
215,easy,multi,IV,normal,浙平湖货02127ZHEPINGHUHUO,浙平湖货02127ZHEPINGHUHUO,True,correct,
216,easy,multi,IV,normal,浙平湖货02206嘉兴港,浙平湖货02206嘉兴港,True,correct,
217,easy,multi,IV,normal,浙平湖货02395ZHEPINGHUHUO,浙平湖货02395ZHEPINGHUHUO,True,correct,
218,easy,multi,IV,normal,浙康达001嘉兴ZHEKANGDA,浙康达001嘉兴ZHEKANGDA,True,correct,
219,easy,multi,IV,normal,浙建德货00888ZHEJIANDEHUO,浙建德货00888ZHEJIANDEHUO,True,correct,
220,easy,multi,IV,normal,浙桐乡槽00500ZHETONGXIANGCAO,浙桐乡槽00500ZHETONGXIANGCAO,True,correct,
221,easy,multi,IV,normal,浙海盐货02320ZHEHAIYANHUO,浙海盐货02320ZHEHAIYANHUO,True,correct,
222,easy,multi,IV,normal,浙海盐货02889ZHEHAIYANHUO,浙海盐货02889ZHEHAIYANHUO,True,correct,
223,easy,multi,IV,normal,浙湖州货2768ZHEHUZHOUHUO,浙湖州货2768ZHEHUZHOUHUO,True,correct,
224,easy,multi,IV,normal,浙绍兴货0575绍兴港,浙绍兴货0575绍兴港,True,correct,
225,easy,multi,IV,normal,浙绍兴货0788ZHESHAOXINGHUO,浙绍兴货0788ZHESHAOXINGHUO,True,correct,
226,easy,multi,IV,normal,浙绍运6-21ZHESHAOYUN,浙绍运6-21ZHESHAOYUN,True,correct,
227,easy,multi,IV,normal,浙绍运0555ZHESHAOYUN,浙绍运0555ZHESHAOYUN,True,correct,
228,easy,multi,IV,normal,浙绍银运006ZHESHAOYINYUN,浙绍银运006ZHESHAOYINYUN,True,correct,
229,easy,multi,IV,normal,浙萧山货03150,浙萧山货03150,True,correct,
230,easy,multi,IV,normal,浙萧山货03173,浙萧山货03173,True,correct,
231,easy,multi,IV,normal,浙萧山货03180,浙萧山货03180,True,correct,
232,easy,multi,IV,normal,浙萧山货23651ZHEXIAOSHANHUO,浙萧山货23651ZHEXIAOSHANHUO,True,correct,
233,easy,multi,IV,normal,浙萧山货23778杭州港,浙萧山货23778杭州港,True,correct,
234,easy,multi,IV,normal,浙萧山货23782杭州港,浙萧山货23782杭州港,True,correct,
235,easy,multi,IV,normal,浙萧山集019ZHEXIAOSHANJI,浙萧山集019ZHEXIAOSHANJI,True,correct,
236,easy,multi,IV,normal,浙衢州货00009ZHEQUZHOUHUO,浙衢州货00009ZHEQUZHOUHUO,True,correct,
237,easy,multi,IV,normal,浙诸暨货0108ZHEZHUJIHUO,浙诸暨货0108ZHEZHUJIHUO,True,correct,
238,easy,multi,IV,normal,浙诸暨货0173,浙诸暨货0173,True,correct,
239,easy,multi,IV,normal,浙诸暨货0208,浙诸暨货0208,True,correct,
240,easy,multi,IV,normal,浙诸暨货0769,浙诸暨货0769,True,correct,
241,easy,multi,IV,normal,浙诸暨货0769,浙诸暨货0769,True,correct,
242,easy,multi,IV,normal,浙诸暨货0780ZHEZHUJIHUO,浙诸暨货0780ZHEZHUJIHUO,True,correct,
243,easy,multi,IV,normal,浙诸暨货0780ZHEZHUJIHUO,浙诸暨货0780ZHEZHUJIHUO,True,correct,
244,easy,multi,IV,normal,浙诸暨货0881,浙诸暨货0881,True,correct,
245,easy,multi,IV,normal,浙诸暨货0881ZHEZHUJIHUO,浙诸暨货0881ZHEZHUJIHUO,True,correct,
246,easy,multi,IV,normal,浙诸暨货0967ZHEZHUJIHUO,浙诸暨货0967ZHEZHUJIHUO,True,correct,
247,easy,multi,IV,normal,浙诸暨货0989ZHEZHUJIHUO,浙诸暨货0989ZHEZHUJIHUO,True,correct,
248,easy,multi,IV,normal,浙诸暨货1056,浙诸暨货1056,True,correct,
249,easy,multi,IV,normal,浙诸暨货1056,浙诸暨货1056,True,correct,
250,easy,multi,IV,normal,浙诸暨货1057ZHEZHUJIHUO,浙诸暨货1057ZHEZHUJIHUO,True,correct,
251,easy,multi,IV,normal,浙诸暨货1078ZHEZHUJIHUO,浙诸暨货1078ZHEZHUJIHUO,True,correct,
252,easy,multi,IV,normal,浙诸暨货1177,浙诸暨货1177,True,correct,
253,easy,multi,IV,normal,浙诸暨货1177,浙诸暨货1177,True,correct,
254,easy,multi,IV,normal,浙诸暨货1177,浙诸暨货1177,True,correct,
255,easy,multi,IV,normal,浙诸暨货1218,浙诸暨货1218,True,correct,
256,easy,multi,IV,normal,浙诸暨货1283ZHEZHUJIHUO,浙诸暨货1283ZHEZHUJIHUO,True,correct,
257,easy,multi,IV,normal,浙越城货0566ZHEYUECHENGHUO,浙越城货0566ZHEYUECHENGHUO,True,correct,
258,easy,multi,IV,normal,浙钱江货00302ZHEQIANJIANGHUO,浙钱江货00302ZHEQIANJIANGHUO,True,correct,
259,easy,multi,IV,normal,浙钱江货00311杭州港,浙钱江货00311杭州港,True,correct,
260,easy,multi,IV,normal,浙钱江货00320ZHEQIANJIANGHUO,浙钱江货00320ZHEQIANJIANGHUO,True,correct,
261,easy,multi,IV,normal,浙钱江货00348ZHEQIANJIANGHUO,浙钱江货00348ZHEQIANJIANGHUO,True,correct,
262,easy,multi,IV,normal,浙钱江货00398ZHEQIANJIANGHUO,浙钱江货00398ZHEQIANJIANGHUO,True,correct,
263,easy,multi,IV,normal,浙钱江货00505ZHEQIANJIANGHUO,浙钱江货00505ZHEQIANJIANGHUO,True,correct,
264,easy,multi,IV,normal,浙钱江货00527ZHEQIANJIANGHUO,浙钱江货00527ZHEQIANJIANGHUO,True,correct,
265,easy,multi,IV,normal,浙钱江货35057ZHEQIANJIANGHUO,浙钱江货35057ZHEQIANJIANGHUO,True,correct,
266,easy,multi,IV,normal,浙长兴货6876湖州港,浙长兴货6876湖州港,True,correct,
267,easy,multi,IV,normal,海源138HAIYUAN,海源138HAIYUAN,True,correct,
268,easy,multi,IV,normal,润佳货001RUNJIAHUO,润佳货001RUNJIAHUO,True,correct,
269,easy,multi,IV,normal,润泽777RUNZE,润泽777RUNZE,True,correct,
270,easy,multi,IV,normal,湘张家界货1002XIANGZHANGJIAJIEHUO,湘张家界货1002XIANGZHANGJIAJIEHUO,True,correct,
271,easy,multi,IV,normal,溧新215LIXIN,溧新215LIXIN,True,correct,
272,easy,multi,IV,normal,溧新969LIXIN,溧新969LIXIN,True,correct,
273,easy,multi,IV,normal,溧新5666LIXIN,溧新5666LIXIN,True,correct,
274,easy,multi,IV,normal,溧新5666LIXIN,溧新5666LIXIN,True,correct,
